episodeId,amountMinor,failureCategory,paymentMethod,subscriptionStatus,failureCount,consecutiveFailureCount,subscriptionAgeDays,previousRecoveryRate,previousFailedPayments,previousNudges,nativeRetryPossible,downtimeActive,diagnosisConfidence,candidateAction,downtimeSeverity,caseAgeHours,recoveredWithin7Days
episode_00001,149900,CUSTOMER_AUTH_FAILURE,upi,pending,3,2,284,0.0,2,1,True,False,HIGH,STOP_AND_ESCALATE,none,23.173,0
episode_00002,29900,PAYMENT_METHOD_INVALID,upi,pending,3,1,93,0.0,1,0,True,False,HIGH,REQUEST_CARD_UPDATE,none,31.58,1
episode_00003,69900,MANDATE_OR_AUTH_INVALID,upi,pending,1,1,110,0.75,4,0,True,False,MEDIUM,WAIT_NATIVE_RETRY,none,11.001,0
episode_00004,29900,CUSTOMER_AUTH_FAILURE,upi,pending,2,1,149,0.25,4,0,True,False,HIGH,STOP_AND_ESCALATE,none,36.109,0
episode_00005,29900,UNKNOWN,emandate,pending,3,2,132,0.0,2,0,True,False,HIGH,SEND_NUDGE,none,49.11,0
episode_00006,69900,PAYMENT_METHOD_INVALID,netbanking,pending,2,1,81,0.0,3,0,True,False,HIGH,STOP_AND_ESCALATE,none,29.974,0
episode_00007,149900,TEMPORARY_FUNDS,emandate,pending,2,1,141,0.666667,3,2,True,False,HIGH,WAIT_NATIVE_RETRY,none,30.344,0
episode_00008,149900,UNKNOWN,card,pending,1,3,75,0.333333,3,3,True,False,LOW,WAIT_NATIVE_RETRY,none,34.464,1
episode_00009,29900,CUSTOMER_AUTH_FAILURE,card,pending,3,1,90,1.0,3,1,True,False,MEDIUM,WAIT_NATIVE_RETRY,none,28.422,0
episode_00010,149900,PAYMENT_METHOD_INVALID,upi,halted,2,1,147,0.666667,3,0,False,False,HIGH,WAIT_NATIVE_RETRY,none,8.982,0
episode_00011,29900,TEMPORARY_FUNDS,card,pending,1,1,102,0.0,1,1,True,False,HIGH,SEND_NUDGE,none,27.576,0
episode_00012,149900,TEMPORARY_FUNDS,card,pending,2,6,127,1.0,1,0,True,False,HIGH,STOP_AND_ESCALATE,none,0.668,1
episode_00013,149900,BANK_OR_NETWORK,netbanking,pending,2,3,275,0.0,2,1,True,False,HIGH,REQUEST_CARD_UPDATE,none,8.144,1
episode_00014,29900,TEMPORARY_FUNDS,netbanking,pending,1,4,90,0.0,0,0,True,False,HIGH,WAIT_NATIVE_RETRY,none,33.802,1
episode_00015,29900,PAYMENT_METHOD_INVALID,netbanking,pending,2,1,142,0.2,5,0,True,False,LOW,SEND_NUDGE,none,23.768,0
episode_00016,29900,UNKNOWN,card,halted,2,2,215,0.5,4,1,False,False,MEDIUM,STOP_AND_ESCALATE,none,27.603,1
episode_00017,149900,TEMPORARY_FUNDS,upi,halted,1,1,275,0.0,2,1,False,False,HIGH,STOP_AND_ESCALATE,none,14.203,1
episode_00018,29900,CUSTOMER_AUTH_FAILURE,upi,pending,1,1,271,0.0,1,1,True,False,HIGH,REQUEST_CARD_UPDATE,none,38.159,1
episode_00019,69900,TEMPORARY_FUNDS,upi,pending,3,2,510,1.0,2,0,True,False,HIGH,SEND_NUDGE,none,11.923,1
episode_00020,69900,BANK_OR_NETWORK,upi,pending,2,2,59,0.0,2,0,True,False,HIGH,REQUEST_CARD_UPDATE,none,28.446,0
episode_00021,29900,PAYMENT_METHOD_INVALID,upi,halted,1,3,286,0.333333,3,0,False,False,HIGH,STOP_AND_ESCALATE,none,122.119,0
episode_00022,69900,CUSTOMER_AUTH_FAILURE,emandate,pending,2,1,112,1.0,2,1,True,False,HIGH,SEND_NUDGE,none,19.273,0
episode_00023,69900,TEMPORARY_FUNDS,emandate,pending,1,1,255,0.0,2,2,True,False,HIGH,REQUEST_CARD_UPDATE,none,100.251,1
episode_00024,29900,PAYMENT_METHOD_INVALID,card,halted,3,2,191,0.0,2,1,False,False,LOW,REQUEST_CARD_UPDATE,none,64.018,0
episode_00025,29900,CUSTOMER_AUTH_FAILURE,upi,halted,2,1,51,0.0,2,0,False,False,LOW,SEND_NUDGE,none,3.532,0
episode_00026,149900,TEMPORARY_FUNDS,upi,pending,2,1,393,0.333333,3,0,True,False,HIGH,REQUEST_CARD_UPDATE,none,38.06,1
episode_00027,29900,CUSTOMER_AUTH_FAILURE,upi,pending,3,1,142,0.0,3,3,True,False,MEDIUM,REQUEST_CARD_UPDATE,none,30.148,0
episode_00028,29900,TEMPORARY_FUNDS,card,pending,2,1,32,0.0,0,0,True,False,HIGH,STOP_AND_ESCALATE,none,3.942,1
episode_00029,69900,PAYMENT_METHOD_INVALID,emandate,pending,2,5,109,0.0,2,0,True,False,MEDIUM,STOP_AND_ESCALATE,none,33.856,0
episode_00030,29900,UNKNOWN,card,pending,2,1,66,0.0,0,0,True,False,LOW,WAIT_NATIVE_RETRY,none,40.544,0
episode_00031,29900,TEMPORARY_FUNDS,card,pending,1,2,396,0.0,1,2,True,False,HIGH,SEND_NUDGE,none,37.415,0
episode_00032,29900,TEMPORARY_FUNDS,card,halted,2,2,25,0.0,0,2,False,False,HIGH,WAIT_NATIVE_RETRY,none,19.098,0
episode_00033,29900,UNKNOWN,card,pending,1,1,51,0.25,4,1,True,True,MEDIUM,STOP_AND_ESCALATE,medium,26.664,0
episode_00034,69900,TEMPORARY_FUNDS,upi,pending,1,1,53,1.0,1,1,True,False,MEDIUM,WAIT_NATIVE_RETRY,none,54.597,0
episode_00035,69900,BANK_OR_NETWORK,upi,pending,2,2,188,0.666667,3,3,True,True,HIGH,WAIT_NATIVE_RETRY,high,33.961,1
episode_00036,29900,CUSTOMER_AUTH_FAILURE,card,halted,2,2,461,0.333333,3,0,False,False,HIGH,REQUEST_CARD_UPDATE,none,49.645,0
episode_00037,29900,UNKNOWN,card,pending,3,1,48,0.0,1,0,True,False,MEDIUM,WAIT_NATIVE_RETRY,none,9.96,1
episode_00038,29900,PAYMENT_METHOD_INVALID,card,pending,1,2,31,1.0,1,0,True,False,HIGH,WAIT_NATIVE_RETRY,none,20.171,0
episode_00039,29900,CUSTOMER_AUTH_FAILURE,emandate,pending,1,1,232,1.0,2,1,True,False,MEDIUM,STOP_AND_ESCALATE,none,10.481,0
episode_00040,149900,TEMPORARY_FUNDS,card,pending,2,1,294,0.8,5,2,True,False,HIGH,REQUEST_CARD_UPDATE,none,62.162,1
episode_00041,69900,TEMPORARY_FUNDS,emandate,halted,1,2,146,0.333333,3,3,False,False,HIGH,WAIT_NATIVE_RETRY,none,52.112,0
episode_00042,69900,CUSTOMER_AUTH_FAILURE,emandate,pending,1,2,126,0.0,3,0,True,False,LOW,SEND_NUDGE,none,66.685,1
episode_00043,69900,CUSTOMER_AUTH_FAILURE,card,pending,2,3,67,0.333333,3,0,True,False,HIGH,WAIT_NATIVE_RETRY,none,34.524,1
episode_00044,149900,PAYMENT_METHOD_INVALID,upi,pending,4,2,170,1.0,3,0,True,False,LOW,STOP_AND_ESCALATE,none,10.567,1
episode_00045,149900,CUSTOMER_AUTH_FAILURE,emandate,pending,1,1,63,0.5,2,2,True,False,HIGH,REQUEST_CARD_UPDATE,none,8.794,1
episode_00046,149900,TEMPORARY_FUNDS,card,pending,2,2,180,0.5,4,3,True,False,HIGH,WAIT_NATIVE_RETRY,none,38.715,1
episode_00047,29900,PAYMENT_METHOD_INVALID,emandate,pending,3,1,401,0.0,0,0,True,False,MEDIUM,WAIT_NATIVE_RETRY,none,28.16,0
episode_00048,69900,PAYMENT_METHOD_INVALID,emandate,pending,1,3,131,0.0,0,2,True,True,HIGH,REQUEST_CARD_UPDATE,low,22.965,1
episode_00049,149900,CUSTOMER_AUTH_FAILURE,card,pending,2,2,171,0.0,3,3,True,False,MEDIUM,WAIT_NATIVE_RETRY,none,8.057,0
episode_00050,149900,CUSTOMER_AUTH_FAILURE,upi,pending,2,2,280,0.666667,3,0,True,False,HIGH,WAIT_NATIVE_RETRY,none,20.09,1
episode_00051,29900,UNKNOWN,card,pending,1,1,94,1.0,2,0,True,False,HIGH,SEND_NUDGE,none,33.431,1
episode_00052,29900,UNKNOWN,upi,halted,1,4,268,0.0,0,0,False,False,MEDIUM,STOP_AND_ESCALATE,none,40.572,0
episode_00053,69900,UNKNOWN,card,pending,2,4,37,0.0,3,1,True,False,LOW,REQUEST_CARD_UPDATE,none,13.534,0
episode_00054,149900,BANK_OR_NETWORK,upi,pending,2,2,206,0.0,1,0,True,False,HIGH,REQUEST_CARD_UPDATE,none,35.148,0
episode_00055,29900,MANDATE_OR_AUTH_INVALID,emandate,pending,2,4,70,0.0,1,0,True,False,HIGH,REQUEST_CARD_UPDATE,none,46.479,1
episode_00056,69900,PAYMENT_METHOD_INVALID,card,pending,2,2,37,1.0,2,0,True,True,HIGH,WAIT_NATIVE_RETRY,low,46.104,1
episode_00057,69900,UNKNOWN,unknown,pending,2,2,146,0.5,2,2,True,True,LOW,WAIT_NATIVE_RETRY,low,93.911,1
episode_00058,149900,UNKNOWN,upi,pending,5,2,180,0.5,2,3,True,False,LOW,SEND_NUDGE,none,20.067,0
episode_00059,69900,BANK_OR_NETWORK,netbanking,pending,2,1,239,0.0,0,2,True,False,LOW,WAIT_NATIVE_RETRY,none,19.949,1
episode_00060,29900,TEMPORARY_FUNDS,card,pending,3,2,383,0.666667,3,1,True,False,HIGH,WAIT_NATIVE_RETRY,none,43.397,0
episode_00061,29900,TEMPORARY_FUNDS,unknown,pending,3,1,225,0.666667,3,1,True,False,HIGH,REQUEST_CARD_UPDATE,none,114.952,0
episode_00062,69900,CUSTOMER_AUTH_FAILURE,upi,pending,2,1,42,0.0,4,0,True,False,HIGH,SEND_NUDGE,none,28.977,0
episode_00063,69900,TEMPORARY_FUNDS,emandate,pending,3,2,367,1.0,1,0,True,True,HIGH,WAIT_NATIVE_RETRY,high,98.272,1
episode_00064,69900,BANK_OR_NETWORK,netbanking,pending,4,1,17,1.0,1,0,True,False,HIGH,SEND_NUDGE,none,8.279,1
episode_00065,29900,MANDATE_OR_AUTH_INVALID,card,halted,1,2,46,0.5,4,0,False,False,HIGH,REQUEST_CARD_UPDATE,none,23.347,0
episode_00066,69900,CUSTOMER_AUTH_FAILURE,card,halted,2,1,310,0.0,1,0,False,False,HIGH,SEND_NUDGE,none,40.302,1
episode_00067,29900,CUSTOMER_AUTH_FAILURE,card,pending,2,3,355,0.0,1,0,True,False,HIGH,WAIT_NATIVE_RETRY,none,30.889,0
episode_00068,29900,BANK_OR_NETWORK,upi,pending,2,4,206,0.0,1,0,True,True,HIGH,REQUEST_CARD_UPDATE,low,33.064,0
episode_00069,69900,BANK_OR_NETWORK,netbanking,halted,1,3,37,0.5,4,3,False,False,MEDIUM,STOP_AND_ESCALATE,none,120.105,0
episode_00070,149900,PAYMENT_METHOD_INVALID,card,halted,2,3,133,0.0,0,1,False,False,MEDIUM,STOP_AND_ESCALATE,none,20.743,0
episode_00071,149900,PAYMENT_METHOD_INVALID,card,pending,3,2,46,0.0,0,2,True,False,HIGH,SEND_NUDGE,none,17.493,0
episode_00072,69900,TEMPORARY_FUNDS,card,halted,4,1,48,0.25,4,0,False,False,HIGH,STOP_AND_ESCALATE,none,59.39,1
episode_00073,29900,PAYMENT_METHOD_INVALID,emandate,pending,2,2,197,0.6,5,0,True,False,MEDIUM,STOP_AND_ESCALATE,none,14.521,0
episode_00074,29900,PAYMENT_METHOD_INVALID,card,pending,3,3,50,0.0,2,1,True,False,LOW,SEND_NUDGE,none,31.264,1
episode_00075,69900,TEMPORARY_FUNDS,emandate,pending,2,2,101,1.0,3,1,True,True,HIGH,REQUEST_CARD_UPDATE,medium,28.465,0
episode_00076,69900,PAYMENT_METHOD_INVALID,emandate,pending,2,2,250,1.0,3,3,True,False,LOW,STOP_AND_ESCALATE,none,46.27,0
episode_00077,29900,PAYMENT_METHOD_INVALID,upi,pending,2,1,95,0.333333,3,0,True,False,HIGH,WAIT_NATIVE_RETRY,none,14.007,1
episode_00078,29900,TEMPORARY_FUNDS,card,pending,3,3,475,0.0,2,0,True,False,HIGH,SEND_NUDGE,none,17.642,1
episode_00079,29900,CUSTOMER_AUTH_FAILURE,card,pending,3,2,241,1.0,3,0,True,False,MEDIUM,STOP_AND_ESCALATE,none,37.076,0
episode_00080,69900,TEMPORARY_FUNDS,card,halted,3,1,31,0.666667,3,2,False,False,MEDIUM,WAIT_NATIVE_RETRY,none,79.085,1
